username,voice_type,subtype,confidence,n_posts,evidence,reasoning
0raid,decentral_individual,student,1.0,25,"I am currently finishing an MSc in Robotics, System and Control at ETH.","The user explicitly states they are currently finishing an MSc at ETH Zurich, which is the home institution. This matches rule B, indicating a current ETH affiliation."
2D_Tiddies,decentral_individual,student,1.0,3,got accepted into the Spatial Development and Infrastructure Systems MSc programme at ETH Zürich,"The user explicitly mentions being accepted into an ETH Zürich MSc programme, which takes precedence over any prior non-ETH affiliation."
65289791,decentral_individual,phd,1.0,9,I'm a first year PhD student in chemistry department.,The user explicitly states they are a first-year PhD student without mentioning any non-ETH institution. ETH Zurich is the default institution for such statements unless a specific external university is named.
DearLeek1822,decentral_individual,phd,1.0,13,I am an ETH student.,"The user explicitly states they are an ETH student, confirming their current affiliation with ETH Zurich."
Admirable_Towel8693,decentral_individual,applicant,0.9,7,I applied to ETH Zurich for a PhD and received an offer while I was outside of Switzerland.,"The user explicitly mentions applying to ETH Zurich for a PhD, which falls under the 'applicant' subtype under 'decentral_individual' as per the decision tree. The application is current (received an offer), and no other institution is named."
Eggsy_x,decentral_individual,applicant,0.9,3,Not an ETHler yet but will be next year,"The user explicitly states they will be an ETH student next year, indicating they have applied and are in the process of being accepted, which aligns with the 'applicant' subtype under 'decentral_individual'."
Unnaturalempathy,decentral_individual,postdoc,1.0,7,I moved to Switzerland for my postdoc at ETH,"The statement explicitly mentions a current postdoc role at ETH Zurich, which is the home institution."
TheDerplessHerp,decentral_individual,postdoc,0.8,2,"Statements imply current involvement with ETH, such as advising on PhD applications and referencing a lab at ETH.","The user references advising on applying for a PhD at ETH and mentions being in a lab with PhD students, indicating a current affiliation with ETH. There is no explicit mention of a non-ETH institution as their current role, and the context aligns with a postdoc or researcher role at ETH."
Ashamed_Baker_3568,decentral_individual,researcher,1.0,25,As I work now at ETH I still get to “enjoy” whatever SV Group comes up with,"The user explicitly states they are currently working at ETH Zurich, which is the home institution. This directly matches the 'decentral_individual' voice type with the 'researcher' subtype."
Beduines123,decentral_individual,researcher,1.0,20,Currently working at ETH Zurich as a research assistant,"The user explicitly states they are currently working at ETH Zurich, which is the home institution. This matches the criteria for 'decentral_individual' with the subtype 'researcher'."
Aark95,external_individual,student,1.0,1,I am doing the BsC business informatics at WU Vienna,"The user explicitly states they are currently studying at WU Vienna, a non-ETH institution, with no mention of a current or upcoming ETH affiliation."
Active-Diamond-7555,external_individual,student,1.0,32,current 4th-year undergraduate pursuing a degree in CCE from Manipal Institute of Technology in India,The user explicitly names a non-ETH institution (Manipal Institute of Technology) as their current role with no mention of ETH affiliation.
FutureAd6409,external_individual,phd,1.0,4,she’s a PhD student at Zurich University,"The user explicitly names a non-ETH institution (Zurich University) as their current role, which matches the criteria for external_individual."
Shompen,external_individual,phd,1.0,2,I am a PhD student at DUSYS.,"The user explicitly names a non-ETH institution (DUSYS) as their current role, with no mention of a current or upcoming ETH connection."
0b00000110,external_individual,other,0.8,227,ZHAW grad here who has worked in the tech industry for ten years.,"The user explicitly identifies as a ZHAW graduate and mentions working in the tech industry, indicating a current role outside of ETH Zurich."
Due_Astronomer_604,external_individual,other,0.8,3,Coming from ETH I went to ZHAW; I returned to ZHAW as a teacher myself,The user explicitly mentions ZHAW as their current or past role (teacher) without any indication of a current or upcoming ETH affiliation. The mention of ETH is in the past ('Coming from ETH') and does not override the current affiliation with ZHAW.
RevolutionFull111,external_individual,researcher,1.0,10,"statements explicitly mention working and studying at EPFL, a non-ETH institution, with no mention of ETH affiliation","The user explicitly states they are studying and working at EPFL, which is a non-ETH institution. There is no mention of any current or upcoming ETH affiliation, and the statements are in the present tense, indicating a current role at EPFL."
WildlifePhysics,external_individual,researcher,0.8,157,"statements 1, 2, 3","The user explicitly mentions having research experience at MIT and EPFL/ETH labs, but also states they did their PhD in physics at MIT. Since they are not currently affiliated with ETH Zurich and their current role is not specified, they are classified as external_individual/researcher."
Ill-Perspective-7190,former_individual,student,1.0,24,I've done both my bachelors and masters at ETH,"The user explicitly mentions having completed both their bachelor's and master's degrees at ETH Zurich, indicating a former affiliation as a student."
akhenator,former_individual,student,1.0,81,I just finished my master in biology at the ETH of Zürich,"The user explicitly mentions completing a master's degree at ETH Zurich, indicating a former affiliation as a student."
CreativeAd996,former_individual,phd,0.8,1,Holding a PhD from ETH,"The user explicitly mentions holding a PhD from ETH, indicating a past affiliation with ETH. They also mention working in Beijing, but this does not override the ETH affiliation, which is in the past."
FerrousThing,former_individual,phd,0.8,153,former PhD student,"The user explicitly identifies as a former PhD student, which falls under the 'former_individual' voice type with the 'phd' subtype. No specific university is mentioned, but since the user is not currently affiliated with ETH Zurich and no other institution is named, the classification defaults to 'former_individual' based on the role."
Desperate_Sign_1286,former_individual,employee_or_alumni,1.0,1,I'm a Chinese ETH alumnus,"The user explicitly identifies as an ETH alumnus, indicating a former affiliation with ETH Zurich."
Emergency_Coffee_829,former_individual,employee_or_alumni,0.8,6,ETH grad here working in those industries,"The user explicitly identifies as an ETH graduate, indicating a former affiliation with ETH Zurich."
Fun_Local800,decentral,department_or_lab,1.0,3,D-ITET ETH,"The statement 'D-ITET ETH' explicitly refers to a department (D-ITET) at ETH Zurich, indicating a current affiliation with a decentral institutional unit at ETH."
Smart_Technology_433,decentral,department_or_lab,1.0,4,Im at ITET in my second year,"The user explicitly mentions being at ITET, which is a department or lab within ETH Zurich. The statement indicates a current affiliation with ETH Zurich."
