username,voice_type,subtype,confidence,n_posts,evidence,reasoning
-ColaZero,unknown,,0.0,3,,no affiliation statements found
-___-_-_--,unknown,,0.0,1,,no affiliation statements found
0b00000110,external_individual,student,0.8,2,ZHAW grad here who has worked in the tech industry for ten years.,"The user explicitly mentions being a ZHAW graduate, which is a non-ETH university."
0raid,decentral_individual,student,1.0,4,"I am currently finishing an MSc in Robotics, System and Control at ETH.",The user explicitly states they are an MSc student at ETH.
4g4o,unknown,,0.0,2,,no affiliation statements found
AdEastern6906,unknown,,0.2,3,I was accepted at ETH Zurich and I would like to know more about how studying in this master's program is.,The statement mentions acceptance but no current/past affiliation or role at ETH.
BazingaSan,unknown,,0.0,2,,no affiliation statements found
Designer-Access-4471,unknown,,0.0,4,,no affiliation statements found
Donthaveaphd,unknown,,0.0,33,,No university affiliation or connection to ETH or other institutions is mentioned in the statement.
authentichooman,unknown,,0.0,71,,no affiliation statements found
compassWorn,unknown,,0.0,120,,no affiliation statements found
